4,185294118;4,211764706;4,170588235;4,167647059;4,176470588
4,173529412;4,182352941;4,2;4,167647059;4,197058824
4,202941176;4,167647059;4,226470588;4,2;4,188235294
4,223529412;4,211764706;4,2;4,202941176;4,191176471
4,2;4,185294118;4,185294118;4,2;4,205882353
;;;;
;;;;
83,70588235;84,23529412;83,41176471;83,35294118;83,52941176
83,47058824;83,64705882;84;83,35294118;83,94117647
84,05882353;83,35294118;84,52941176;84;83,76470588
84,47058824;84,23529412;84;84,05882353;83,82352941
84;83,70588235;83,70588235;84;84,11764706
